age,gender,height
19.0, 1.0,147.7
18.0, 0.0,166.1
19.0, 0.0,165.2
19.0, 1.0,153.2
19.0, 1.0,152.9
18.0, 1.0,162.5
18.0, 1.0,160.7
18.0, 0.0,164.0
18.0, 0.0,168.4
18.0, 0.0,171.3
18.0, 1.0,158.8
19.0, 0.0,161.3
18.0, 0.0,175.7
18.0, 1.0,164.0
19.0, 0.0,182.9
18.0, 1.0,152.6
18.0, 1.0,161.5
19.0, 0.0,166.4
18.0, 1.0,155.8
18.0, 1.0,168.2
18.0, 1.0,153.0
18.0, 0.0,166.3
18.0, 0.0,171.6
18.0, 1.0,161.1
18.0, 1.0,157.1
18.0, 1.0,157.8
18.0, 1.0,166.5
18.0, 1.0,164.1
19.0, 0.0,171.2
18.0, 1.0,163.3
18.0, 1.0,160.8
18.0, 1.0,156.5
18.0, 1.0,157.3
19.0, 1.0,160.3
19.0, 0.0,177.4
18.0, 1.0,158.4
19.0, 0.0,173.8
18.0, 1.0,160.5
18.0, 1.0,159.0
19.0, 0.0,175.8
18.0, 1.0,154.7
18.0, 0.0,173.6
19.0, 0.0,168.3
